TABLE NO.  1
 NUM         IPRED       NPDE        CWRES       DV          PRED        RES         WRES
  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0000E+00  6.8532E+01 -6.3310E-01 -5.1208E-01  6.1005E+01  6.0580E+01  4.2528E-01 -5.3338E-01
  3.0000E+00  9.0812E+01  4.0338E-01  1.2618E-01  9.0976E+01  7.8543E+01  1.2433E+01  1.4260E-01
  4.0000E+00  9.7276E+01  1.6781E+00  1.4440E+00  1.2221E+02  8.3035E+01  3.9175E+01  1.6310E+00
  5.0000E+00  9.6737E+01  1.7132E+00  1.6937E+00  1.2609E+02  8.2217E+01  4.3873E+01  1.9136E+00
  6.0000E+00  8.8705E+01 -3.3428E-02 -5.2611E-02  8.4682E+01  7.5482E+01  9.1995E+00 -9.3947E-02
  7.0000E+00  7.8915E+01 -9.6742E-01 -9.1243E-01  6.2131E+01  6.7793E+01 -5.6621E+00 -1.0690E+00
  8.0000E+00  7.1084E+01 -1.6134E+00 -1.4165E+00  4.9135E+01  6.1694E+01 -1.2559E+01 -1.6269E+00
  9.0000E+00  6.2368E+01  3.3185E-01  2.4584E-01  6.4180E+01  5.4848E+01  9.3323E+00  2.2975E-01
  1.0000E+01  5.0987E+01  1.0083E+00  9.0521E-01  5.9574E+01  4.5697E+01  1.3877E+01  9.4077E-01
  1.1000E+01  3.5729E+01  1.3205E+00  1.3531E+00  4.5297E+01  3.2809E+01  1.2488E+01  1.3951E+00
  1.2000E+01  2.2231E+01 -7.7219E-01 -7.5922E-01  1.8966E+01  2.0377E+01 -1.4109E+00 -8.1288E-01
  1.3000E+01  1.9003E+01 -6.6893E-02 -9.2992E-02  1.8771E+01  1.7202E+01  1.5686E+00 -1.0232E-01
  1.4000E+01  1.0599E+01  1.7637E-01  1.5673E-01  1.1067E+01  9.0854E+00  1.9816E+00  1.8938E-01
